"filename", "language", "Java", "JSON", "Log", "Markdown", "CSV", "CSS", "comment", "blank", "total"
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/MovementManager.java", "Java", 28, 0, 0, 0, 0, 0, 0, 8, 36
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/MovementTrack.java", "Java", 99, 0, 0, 0, 0, 0, 0, 31, 130
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/NameTag.java", "Java", 8, 0, 0, 0, 0, 0, 0, 5, 13
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/OverlayAnimation.java", "Java", 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/SecondTimer.java", "Java", 6, 0, 0, 0, 0, 0, 0, 5, 11
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/StatusEffects.java", "Java", 8, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/Tile.java", "Java", 114, 0, 0, 0, 0, 0, 8, 23, 145
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/Types.java", "Java", 13, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/Vector.java", "Java", 66, 0, 0, 0, 0, 0, 0, 18, 84
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/behaviors/AiBehavior.java", "Java", 21, 0, 0, 0, 0, 0, 1, 6, 28
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/behaviors/Behavior.java", "Java", 7, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/behaviors/UserBehavior.java", "Java", 3, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/statistics/Energy.java", "Java", 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/statistics/Health.java", "Java", 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/statistics/Level.java", "Java", 19, 0, 0, 0, 0, 0, 0, 7, 26
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/statistics/Resource.java", "Java", 21, 0, 0, 0, 0, 0, 0, 8, 29
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/statistics/Stat.java", "Java", 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/statistics/StatusEffectManager.java", "Java", 9, 0, 0, 0, 0, 0, 0, 6, 15
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/components/statistics/Summary.java", "Java", 57, 0, 0, 0, 0, 0, 12, 21, 90
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/entity/Entity.java", "Java", 28, 0, 0, 0, 0, 0, 0, 10, 38
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/main/GameController.java", "Java", 33, 0, 0, 0, 0, 0, 1, 11, 45
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/main/GameModel.java", "Java", 113, 0, 0, 0, 0, 0, 18, 25, 156
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/main/GameView.java", "Java", 42, 0, 0, 0, 0, 0, 10, 9, 61
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/TileMap.java", "Java", 85, 0, 0, 0, 0, 0, 9, 18, 112
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/TileMapFactory.java", "Java", 85, 0, 0, 0, 0, 0, 0, 12, 97
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/generators/BorderedMapWithBorderedRoomsGenerator.java", "Java", 28, 0, 0, 0, 0, 0, 7, 17, 52
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/generators/HauberkDungeonGenerator.java", "Java", 224, 0, 0, 0, 0, 0, 40, 64, 328
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/generators/IndoorSquareRoomsGenerator.java", "Java", 38, 0, 0, 0, 0, 0, 3, 16, 57
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/generators/OpenMapGenerator.java", "Java", 27, 0, 0, 0, 0, 0, 11, 15, 53
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/generators/OpenMapWithBorderGenerator.java", "Java", 27, 0, 0, 0, 0, 0, 7, 17, 51
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/generators/OutdoorSquareRoomsGenerator.java", "Java", 29, 0, 0, 0, 0, 0, 4, 15, 48
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/generators/TileMapGenerator.java", "Java", 368, 0, 0, 0, 0, 0, 27, 80, 475
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/generators/validation/SchemaConfigs.java", "Java", 57, 0, 0, 0, 0, 0, 0, 7, 64
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/generators/validation/SchemaMap.java", "Java", 64, 0, 0, 0, 0, 0, 4, 11, 79
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/map/generators/validation/SchemaMapValidation.java", "Java", 86, 0, 0, 0, 0, 0, 10, 21, 117
"/Users/justusbrown/Desktop/ProjectEmeritus/ProjectEmeritus/src/game/pathfinding/TilePathing.java", "Java", 184, 0, 0, 0, 0, 0, 20, 42, 246
