[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:20] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:22] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:22] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:22] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:22] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:22] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:22] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:22] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:22] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
